threads,locks,nanoseconds
1,10,2001921
1,100,18235380
1,500,92747579
1,1000,184070929
1,2500,491523108
1,5000,991846376
1,10000,2171871105
1,20000,5000703769
1,50000,17668872800
1,100000,52491609346
1,150000,103993797710
1,200000,172676485002
1,300000,359942270086
1,500000,941541432029
1,700000,1807038992169
2,10,2002908
2,100,18731255
2,500,93876557
2,1000,183858560
2,2500,470135276
2,5000,1009939222
2,10000,1159745001
2,20000,2567266354
2,50000,10331881354
2,100000,38501445582
2,150000,84835259234
2,200000,147534066505
2,300000,324577588470
2,500000,881562897975
2,700000,1710588264650
4,10,2026640
4,100,18656286
4,500,92957737
4,1000,188207270
4,2500,477101765
4,5000,528218432
4,10000,604640516
4,20000,1932880177
4,50000,11248512944
4,100000,39999452769
4,150000,86587726469
4,200000,149706621316
4,300000,327640308218
4,500000,887734414689
4,700000,1721154014775
8,10,2020946
8,100,18381672
8,500,93001103
8,1000,184621214
8,2500,240327930
8,5000,292982705
8,10000,672125916
8,20000,2303685463
8,50000,11781887403
8,100000,41187623951
8,150000,87486189914
8,200000,151078022491
8,300000,329367101671
8,500000,893066741477
8,700000,1732686740774
