threads,locks,nanoseconds
1,10,24944
1,100,175767
1,500,887667
1,1000,1813316
1,2500,4131146
1,5000,8692988
1,10000,16334959
1,20000,33132923
1,50000,88982209
1,100000,233208723
1,150000,372980688
1,200000,593674265
1,300000,1101771476
1,500000,2610010137
1,700000,4742865646
2,10,55251
2,100,205203
2,500,940142
2,1000,1622835
2,2500,4135933
2,5000,8354612
2,10000,10991496
2,20000,27812631
2,50000,55324272
2,100000,122113001
2,150000,192844580
2,200000,266399589
2,300000,448148331
2,500000,859103502
2,700000,1371491225
4,10,76367
4,100,178310
4,500,798074
4,1000,1682251
4,2500,4420216
4,5000,5051975
4,10000,8818259
4,20000,19278487
4,50000,46358512
4,100000,97406039
4,150000,147189797
4,200000,227887995
4,300000,329223517
4,500000,607758838
4,700000,957913628
8,10,123531
8,100,180875
8,500,824554
8,1000,1701663
8,2500,2449092
8,5000,3887298
8,10000,8979968
8,20000,21850994
8,50000,46899582
8,100000,102750900
8,150000,153182109
8,200000,228761296
8,300000,333088785
8,500000,581938491
8,700000,848965312
